POSTAL PATRON,PO BOX NO,LYONS  GA   30436,OPEN,OPEN,CITY CODE,LABEL STOP,SELECT CODE,WALK SEQ.,TAG
,1356,,,,LSH,,AP,1450,
,1357,,,,LSH,,AP,1454,
,1358,,,,LSH,,AP,1456,
,1359,,,,LSH,,AP,1458,
,1361,,,,LSH,,AP,1452,
,1362,,,,LSH,,AP,1520,X
,1363,,,,LSH,,AP,1538,
,1364,,,,LSH,,AP,1540,
,1365,,,,LSH,,AP,1544,
,1366,,,,LSH,,AP,1542,
,1367,,,,LSH,,AP,1546,
,1368,,,,LSH,,AP,1466,
,1369,,,,LSH,,AP,1462,
,1370,,,,LSH,,AP,1464,
,1371,,,,LSH,,AP,1460,
,1372,,,,LSH,,AP,1474,
,1373,,,,LSH,,AP,1470,
,1374,,,,LSH,,AP,1472,
,1375,,,,LSH,,AP,1468,
,1381,,,,LSH,,AP,1486,
,1382,,,,LSH,,AP,1482,
,1383,,,,LSH,,AP,1525,X
,1384,,,,LSH,,AP,1484,
,1385,,,,LSH,,AP,1480,
,1386,,,,LSH,,AP,1476,
,1387,,,,LSH,,AP,1488,
,1388,,,,LSH,,AP,1492,
,1389,,,,LSH,,AP,1490,
,1391,,,,LSH,,AP,1502,
,1392,,,,LSH,,AP,1494,
,1393,,,,LSH,,AP,1530,X
,1394,,,,LSH,,AP,1504,
,1395,,,,LSH,,AP,1535,X
,1396,,,,LSH,,AP,1500,
,1397,,,,LSH,,AP,1506,
,1398,,,,LSH,,AP,1510,
,1399,,,,LSH,,AP,1508,
,1400,,,,LSH,,AP,1512,
,1401,,,,LSH,,AP,1514,
,1402,,,,LSH,,AP,1516,
,1403,,,,LSH,,AP,1518,
,1404,,,,LSH,,AP,1520,
,1405,,,,LSH,,AP,1526,
,1411,,,,LSH,,AP,1522,
,1412,,,,LSH,,AP,1528,
,1413,,,,LSH,,AP,1524,
,1414,,,,LSH,,AP,1530,
,1415,,,,LSH,,AP,1532,X
,1416,,,,LSH,,AP,1534,
,1417,,,,LSH,,AP,1552,
,1418,,,,LSH,,AP,1550,
,1419,,,,LSH,,AP,1548,
,1421,,,,LSI,,AR,1742,
,1422,,,,LSI,,AR,1746,
,1423,,,,LSI,,AR,1744,
,1424,,,,LSH,,AR,1537,x
,1425,,,,LSH,,AR,1538,X
,1426,,,,LSH,,AR,1732,
,1427,,,,LSH,,AR,1728,
,1428,,,,LSH,,AR,1736,
,1429,,,,LSH,,AR,1726,
,1430,,,,LSH,,AR,1734,
,1431,,,,LSH,,AR,1730,
,1432,,,,LSH,,AR,1540,X
,1433,,,,LSH,,AR,1606,
,1434,,,,LSH,,AR,1614,
,1435,,,,LSH,,AR,1610,
,1441,,,,LSH,,AR,1618,
,1442,,,,LSH,,AR,1608,
,1443,,,,LSH,,AR,1616,
,1444,,,,LSH,,AR,1545,X
,1445,,,,LSH,,AR,1550,X
,1446,,,,LSH,,AR,1555,x
,1447,,,,LSH,,AR,1592,
,1448,,,,LSH,,AR,1560,x
,1449,,,,LSH,,AR,1596,
,1451,,,,LSH,,AR,1565,X
,1452,,,,LSH,,AR,1600,
,1453,,,,LSH,,AR,1604,
,1454,,,,LSH,,AR,1582,
,1455,,,,LSH,,AR,1594,
,1456,,,,LSH,,AR,1586,
,1457,,,,LSH,,AR,1598,
,1458,,,,LSH,,AR,1590,
,1459,,,,LSH,,AR,1602,
,1460,,,,LSH,,AR,1574,
,1461,,,,LSH,,AR,1578,
,1462,,,,LSH,,AR,1576,
,1463,,,,LSH,,AR,1566,
,1464,,,,LSH,,AR,1570,
,1465,,,,LSH,,AR,1570,X
,1471,,,,LSH,,AR,1572,
,1472,,,,LSH,,AR,1556,
,1473,,,,LSH,,AR,1560,
,1474,,,,LSH,,AR,1575,X
,1475,,,,LSH,,AR,1562,
,1476,,,,LSH,,AR,1564,X
,1477,,,,LSH,,AR,1622,
,1478,,,,LSH,,AR,1626,
,1479,,,,LSH,,AR,1624,
,1481,,,,LSH,,AR,1580,x
,1482,,,,LSH,,AR,1630,
,1483,,,,LSH,,AR,1632,
,1484,,,,LSH,,AR,1636,
,1485,,,,LSH,,AR,1634,
,1486,,,,LSH,,AR,1638,
,1487,,,,LSH,,AR,1642,
,1488,,,,LSH,,AR,1640,
,1489,,,,LSH,,AR,1644,
,1490,,,,LSH,,AR,1650,
,1491,,,,LSH,,AR,1581,x
,1492,,,,LSH,,AR,1654,
,1493,,,,LSH,,AR,1652,
,1494,,,,LSH,,AR,1648,
,1495,,,,LSH,,AR,1656,
,1501,,,,LSH,,AR,1658,
,1502,,,,LSH,,AR,1668,
,1503,,,,LSH,,AR,1664,
,1504,,,,LSH,,AR,1660,
,1505,,,,LSH,,AR,1582,X
,1506,,,,LSH,,AR,1666,
,1507,,,,LSH,,AR,1662,
,1508,,,,LSH,,AR,1672,
,1509,,,,LSH,,AR,1674,
,1511,,,,LSH,,AR,1678,
,1512,,,,LSH,,AR,1682,
,1513,,,,LSH,,AR,1676,
,1514,,,,LSH,,AR,1680,
,1515,,,,LSH,,AR,1684,
,1516,,,,LSH,,AR,1694,
,1517,,,,LSH,,AR,1686,
,1518,,,,LSH,,AR,1690,
,1519,,,,LSH,,AR,1696,
,1520,,,,LSH,,AR,1688,
,1521,,,,LSH,,AR,1692,
,1522,,,,LSH,,AR,1702,
,1523,,,,LSH,,AR,1698,
,1524,,,,LSH,,AR,1585,X
,1525,,,,LSH,,AR,1704,
,1531,,,,LSH,,AR,1700,
,1532,,,,LSH,,AR,1708,
,1533,,,,LSH,,AR,1722,
,1534,,,,LSH,,AR,1710,
,1535,,,,LSH,,AR,1712,
,1536,,,,LSH,,AR,1714,
,1537,,,,LSH,,AR,1718,
,1538,,,,LSH,,AR,1716,
,1539,,,,LSH,,AR,1720,
,END PO G,,,,LSG,,AM,1432,X
,END PO H,,,,LSH,,AO,1508,X
,END PO I,,,,LSI,,AQ,1587,X
,1313,,,,LSH,,,1509,x
,1,,,,LS1,X,AF,,
,207,,,,LS1,X,,,
