POSTAL PATRON,PO BOX NO,LYONS  GA   30436,OPEN,OPEN,CITY CODE,LABEL STOP,SELECT CODE,WALK SEQ.,TAG
,364,,,,LSB,,AD,550,X
,381,,,,LSB,,AD,370,
,382,,,,LSB,,AD,372,
,383,,,,LSB,,AD,555,X
,384,,,,LSB,,AD,560,X
,389,,,,LSB,,AD,580,X
,387,,,,LSB,,AD,570,X
,388,,,,LSB,,AD,575,X
,END PO C,,,,LSC,,AE,587,X
,402,,,,LSC,,AB,600,X
,403,,,,LSC,,AF,605,X
,404,,,,LSC,,AF,422,
,405,,,,LSC,,AF,610,X
,407,,,,LSC,,AF,615,X
,408,,,,LSC,,AF,620,X
,409,,,,LSC,,AF,625,X
,410,,,,LSC,,AF,428,
,A,,,,LSC,,AF,434,
,411,,,,LSC,,AF,436,
,412,,,,LSC,,AF,438,
,413,,,,LSC,,AF,440,
,414,,,,LSC,,AF,442,
,415,,,,LSC,,AF,444,
,421,,,,LSC,,AF,630,X
,422,,,,LSC,,AF,448,
,423,,,,LSC,,AF,450,
,424,,,,LSC,,AF,452,
,425,,,,LSC,,AF,635,X
,426,,,,LSC,,AF,640,X
,427,,,,LSC,,AF,458,
,428,,,,LSC,,AF,645,
,429,,,,LSC,,AF,462,
,431,,,,LSC,,AF,650,X
,432,,,,LSC,,AF,655,X
,433,,,,LSC,,AF,660,X
,434,,,,LSC,,AF,470,
,435,,,,LSC,,AF,472,
,436,,,,LSC,,AF,665,X
,437,,,,LSC,,AF,476,
,438,,,,LSC,,AF,478,
,439,,,,LSC,,AF,480,
,440,,,,LSC,,AF,670,X
,B,,,,LSC,,AF,590,X
,442,,,,LSC,,AF,675,X
,443,,,,LSC,,AF,680,X
,444,,,,LSC,,AF,685,X
,445,,,,LSC,,AF,690,X
,451,,,,LSC,,AF,695,X
,452,,,,LSC,,AF,496,
,453,,,,LSC,,AF,700,X
,455,,,,LSC,,AF,500,
,456,,,,LSC,,AF,705,X
,457,,,,LSC,,AF,710,X
,47,,,,LSA,,AF,22,X
,461,,,,LSC,,AF,725,
,462,,,,LSC,,AF,730,X
,463,,,,LSC,,AF,735,X
,464,,,,LSC,,AF,514,
,465,,,,LSC,,AF,740,X
,466,,,,LSC,,AF,518,
,467,,,,LSC,,AF,520,
,468,,,,LSC,,AF,745,X
,469,,,,LSC,,AF,524,
,470,,,,LSC,,AF,526,
,C,,,,LSC,,AF,530,
,472,,,,LSC,,AF,755,X
,473,,,,LSC,,AF,532,
,474,,,,LSC,,AF,534,
,475,,,,LSC,,AF,536,
,482,,,,LSC,,AF,538,
,483,,,,LSC,,AF,760,X
,484,,,,LSC,,AF,542,
,485,,,,LSC,,AF,544,
,486,,,,LSC,,AF,765,X
,488,,,,LSC,,AF,775,X
,489,,,,LSC,,AF,780,X
,491,,,,LSC,,AF,783,X
,492,,,,LSC,,AF,785,X
,493,,,,LSC,,AF,556,
,494,,,,LSC,,AF,558,
,495,,,,LSC,,AF,790,X
,496,,,,LSC,,AF,795,X
,497,,,,LSC,,AF,800,X
,498,,,,LSC,,AF,805,X
,499,,,,LSC,,AF,568,
,500,,,,LSC,,AF,570,
,D,,,,LSC,,AF,595,X
,501,,,,LSC,,AF,574,
,503,,,,LSC,,AF,576,
,504,,,,LSC,,AF,578,
