STREET ADDRESS,WALK SEQ.,CITY CODE
310 E. LIBERTY AVE.,378,1
314 E. LIBERTY ST.,380,1
316 E. LIBERTY AVE.,382,1
318 E. LIBERTY ST.,384,1
311 E. LIBERTY AVE.,386,1
107 S. LEXINGTON ST.,6,1
109 S. LEXINGTON ST.,8,1
221 E. LIBERTY AVE.,10,1
416 E. BROAD ST.,388,1
616 N. LEXINGTON APT. B,1452,2
104 S. MADISON ST.,390,1
419 E. LIBERTY AVE.,392,1
417 E. LIBERTY AVE.,394,1
409 E. LIBERTY ST.,396,1
100 S. HALL ST. LOT 7,398,1
101 S. HALL ST.,400,1
107 S. HALL ST.,402,1
400 E. LIBERTY ST.,404,1
402 E. LIBERTY ST.,406,1
404 E. LIBERTY ST.,408,1
406 E. LIBERTY ST.,410,1
408 E. LIBERTY ST.,412,1
410 E. LIBERTY ST.,414,1
200 E. ROOSEVELT STREET,1370,2
204 S. MADISON ST.,416,1
415 E. GRADY AVE.,418,1
413 E. GRADY AVE.,420,1
411 E. GRADY AVE.,422,1
310 GORDON AVENUE,346,1
405 E. GRADY AVE.,424,1
403 E. GRADY AVE.,426,1
401 E. GRADY AVE.,428,1
406 E. GRADY AVE.,430,1
412 E. GRADY AVE.,432,1
416 E. GRADY AVE.,434,1
320 S. MADISON ST.,436,1
400 S. MADISON ST.,438,1
513 S. MADISON ST.,440,1
511 S. MADISON ST.,442,1
507 S. MADISON ST.,448,1
505 S. MADISON ST.,450,1
503 S. MADISON ST.,452,1
501 S. MADISON ST.,454,1
500 E. GORDON ST.,456,1
502 E. GORDON ST.,458,1
511 E. GORDON ST.,460,1
509 E. GORDON ST.,462,1
507 E. GORDON ST.,464,1
505 E. GORDON ST.,466,1
503 E. GORDON ST.,468,1
501 E. GORDON ST.,470,1
403 S. MADISON ST.,472,1
401 S. MADISON ST.,474,1
520 E. STUART AVE.,476,1
321 S. MADISON ST.,478,1
319 S. MADISON ST.,480,1
508 E. GRADY AVE.,482,1
520 E. GRADY AVE.,484,1
519 E. GRADY AVE.,488,1
515 E. GRADY AVE.,490,1
509 E. GRADY AVE.,492,1
217 S. MADISON ST.,494,1
215 S. MADISON ST.,496,1
203 S. MADISON ST. APT.2,498,1
502 E. LIBERTY AVE.,500,1
203 N. JEFFERSON APT.-B,1040,2
522 E. LIBERTY AVE.,506,1
521 E. LIBERTY AVE.,508,1
519 E. LIBERTY AVE.,510,1
501 E. LIBERTY AVE.,512,1
109 S. MADISON ST.,514,1
510 E. BROAD ST.,516,1
512 E. BROAD ST.,518,1
518 E. BROAD ST.,520,1
100 S. MONROE ST.,522,1
204 S. MONROE ST.,524,1
208 S. MONROE ST. APT.B,526,1
521 E. GRADY AVE.,486,1
602 E. GRADY AVE.,528,1
606 E. GRADY AVE.,530,1
608 E. GRADY AVE. APT.C,532,1
608 E. GRADY AVE. APT.B,534,1
608 E. GRADY ST.,536,1
608 E. GRADY AVE. APT.A,538,1
614 E. GRADY AVE.,540,1
706 E. GRADY AVE.,542,1
113 S. 11TH ST.,544,1
111 S. 11TH ST.,546,1
109 S. 11TH ST.,548,1
107 S. 11TH ST.,550,1
103 S. 11TH ST.,552,1
800 E. BROAD ST.,554,1
802 E. BROAD ST.,556,1
703 E. LIBERTY ST. APT.C,570,1
703 E. LIBERTY ST. APT.B,572,1
703 E. LIBERTY ST. APT.A,574,1
701 E. LIBERTY ST. APT.C,580,1
701 E. LIBERTY ST. APT.B,578,1
701 E. LIBERTY ST. APT.A,576,1
103 S. 10TH ST. APT.F,640,1
103 S. 10TH ST. APT.E,642,1
103 S. 10TH ST. APT.D,644,1
104 S. 10TH ST. APT.B,636,1
104 S. 10TH ST. APT.A,638,1
106 S. 10TH ST.,558,1
623 E. LIBERTY AVE.,560,1
621 E. LIBERTY AVE.,562,1
615 E. LIBERTY AVE.,564,1
601 E. LIBERTY AVE.,566,1
614 E. LIBERTY AVE.,568,1
702 E. LIBERTY AVE. APT.D,582,1
702 E. LIBERTY AVE. APT.C,584,1
702 E. LIBERTY AVE. APT.B,586,1
702 E. LIBERTY AVE. APT.A,588,1
704 E. LIBERTY AVE. APT.C,590,1
704 E. LIBERTY AVE. APT.B,592,1
704 E. LIBERTY AVE. APT.A,594,1
718 E. LIBERTY AVE.,622,1
703 E. GRADY AVE. APT.C,596,1
703 E. GRADY AVE. APT.B,598,1
703 E. GRADY AVE. APT.A,600,1
701 E. GRADY AVE. APT.D,602,1
701 E. GRADY AVE. APT.C,604,1
701 E. GRADY AVE. APT.A,606,1
219 S. 10TH ST.,608,1
215 S. 10TH ST.,610,1
211 S. 10TH ST.,620,1
209 S. 10TH ST. APT.D,612,1
209 S. 10TH ST. APT.C,614,1
209 S. 10TH ST. APT.B,616,1
209 S. 10TH ST. APT.A,618,1
617 E. GRADY AVE.,624,1
209 S. MONROE ST.,626,1
109 S. MONROE ST.,628,1
105 S. MONROE ST. APT.B,630,1
614 E. BROAD ST.,632,1
632 E. BROAD ST.,634,1
702 E. BROAD ST. APT.C,646,1
702 E. BROAD ST. APT.B,648,1
702 E. BROAD ST. APT. A,650,1
704 E. BROAD ST. APT. D,652,1
704 E. BROAD ST. APT.C,654,1
704 E. BROAD ST. APT.B,656,1
704 E. BROAD ST. APT.A,658,1
706 E. BROAD ST. APT.D,660,1
706 E. BROAD ST. APT.C,662,1
706 E. BROAD ST. APT.B,664,1
706 E. BROAD ST. APT.A,666,1
LYONS CITY 1 BUNDLE 3 ########,402,1
703 COBBTOWN RD.,756,1
702 COBBTOWN RD.,804,1
704 COBBTOWN RD.,762,1
706 COBBTOWN RD.,758,1
708 COBBTOWN RD.,760,1
710 COBBTOWN RD.,764,1
712 COBBTOWN RD.,766,1
714 COBBTOWN RD.,768,1
716 COBBTOWN RD.,770,1
