OPEN,PO BOX NO,OPEN,OPEN,OPEN,CITY CODE,LABEL STOP,OPEN,SORT CODE,TAG
,312,,,,VSC,,AF,524,X
,315,,,,VSC,,AF,530,X
,321,,,,VSC,,AF,532,X
,322,,,,VSC,,AF,534,X
,323,,,,VSC,,AF,536,
,324,,,,VSC,,AF,538,X
,325,,,,VSC,,AF,540,
,330 (K),,,,VSC,,AF,550,X
,331,,,,VSC,,AF,552,
,332,,,,VSC,,AF,554,X
,333,,,,VSC,,AF,556,X
,334,,,,VSC,,AF,558,X
,338,,,,VSC,,AF,566,
,339,,,,VSC,,AF,568,X
,340,,,,VSC,,AF,570,X
,343,,,,VSC,,AF,576,x
,344,,,,VSC,,AF,578,
,345,,,,VSC,,AF,580,
,352,,,,VSC,,AF,584,
,353,,,,VSC,,AF,586,X
,354,,,,VSC,,AF,588,X
,355,,,,VSC,,AF,590,
,356,,,,VSC,,AF,592,X
,357,,,,VSC,,AF,594,
,358,,,,VSC,,AF,596,X
,359,,,,VSC,,AF,598,
,360 (L),,,,VSC,,AF,600,
,362,,,,VSD,,AH,606,x
,363,,,,VSD,,AH,608,x
,364,,,,VSD,,AH,610,x
,365,,,,VSD,,AH,612,
,372,,,,VSD,,AH,622,x
,381,,,,VSD,,AH,624,x
,383,,,,VSD,,AH,628,x
,384,,,,VSD,,AH,630,x
,385,,,,VSD,,AH,632,x
,386,,,,VSD,,AH,634,
,391,,,,VSD,,AH,638,x
,406,,,,VSD,,AH,652,x
,402,,,,VSD,,AH,644,x
,403,,,,VSD,,AH,646,
,405,,,,VSD,,AH,650,
,407,,,,VSD,,AH,654,X
,411,,,,VSD,,AH,658,X
,412,,,,VSD,,AH,660,X
,421,,,,VSD,,AH,662,
,422,,,,VSD,,AH,664,X
,423,,,,VSD,,AH,666,
,424,,,,VSD,,AH,,
,426,,,,VSD,,AH,672,X
,427,,,,VSD,,AH,674,X
,441,,,,VSE,,AJ,682,X
,442,,,,VSE,,AJ,684,
,444,,,,VSE,,AJ,688,X
,445,,,,VSE,,AJ,690,X
,446,,,,VSE,,AJ,692,
,447,,,,VSE,,AJ,694,X
,448,,,,VSE,,AJ,696,
,451,,,,VSE,,AJ,700,X
,452,,,,VSE,,AJ,702,
,463,,,,VSE,,AJ,708,
,464,,,,VSE,,AJ,710,X
,468,,,,VSE,,AJ,718,
